International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2021-083H,49193,OWLID000296 (SL0324) [ONEWEB 0324],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083D,49189,OWLID000292 (SL0307) [ONEWEB 0307],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083A,49186,OWLID000289 (SL0292) [ONEWEB 0292],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083P,49199,OWLID000302 (SL0333) [ONEWEB 0333],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083Q,49200,OWLID000303 (SL0334) [ONEWEB 0334],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083R,49201,OWLID000304 (SL0335) [ONEWEB 0335],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083V,49205,OWLID000308 (SL0339) [ONEWEB 0339],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083N,49198,OWLID000301 (SL0331) [ONEWEB 0331],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083M,49197,OWLID000300 (SL0328) [ONEWEB 0328],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083T,49203,OWLID000305 (SL0336) [ONEWEB 0337],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083S,49202,OWLID000305 (SL0336) [ONEWEB 0336],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083B,49187,OWLID000290 (SL0303) [ONEWEB 0303],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083X,49207,OWLID000310 (SL0341) [ONEWEB 0341],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083U,49204,OWLID000307 (SL0338) [ONEWEB 0338],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
